Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,Get_points.stopped,gp_key_resp.keys,gp_key_resp.rt,gp_key_resp.duration,get_textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,13,13,0,,,,0.23,0.22,left,0.6,0.15,-0.18,-0.2,0.18,0.2,30,15,1.5,,,,,right,0,0.1432672920054756,None,,,,,,,,,,,,,0,13,13,39,,,,,20.29188458295539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.26770891697379,20.29188458295539,20.444883916992694,right,0,0.1432672920054756,None,20.44503054197412,20.74166024994338,5,0.26232474235373293,0.21082431411463995,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,14,14,0,,,,0.18,0.19,right,0.51,0.8,-0.2,-0.2,0.2,0.2,45,3,0.5,,,,,right,1,0.2172724159900099,None,,,,,,,,,,,,,0,14,14,3,,,,,20.750816457963083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.742420208000112,20.750816457963083,20.994256582984235,right,1,0.2172724159900099,None,20.997108249983285,21.2924132499611,6,0.2585703818234227,0.20223261669751266,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,15,15,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.24085862503852695,None,,,,,,,,,,,,,0,15,15,21,,,,,21.303284291992895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.293588499946054,21.303284291992895,21.561297707958147,right,0,0.24085862503852695,None,21.563397041987628,21.85886733297957,6,0.25720793899381533,0.19435612637001673,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,16,16,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.0,,,,,right,1,0.8122687499853782,None,,,,,,,,,,,,,0,16,16,12,,,,,21.867994124942925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.86018279194832,21.867994124942925,22.693279874976724,right,1,0.8122687499853782,None,22.695372249989305,22.992061249969993,7,0.29685513977892697,0.235607398414265,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,17,17,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.5,,,,,right,1,1.4220614589867182,None,,,,,,,,,,,,,0,17,17,28,,,,,23.002096041978803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.993232499982696,23.002096041978803,24.427736624958925,right,1,1.4220614589867182,None,24.427842499979306,24.726152374991216,8,0.3718688943927797,0.36137101495016366,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,18,18,0,,,,0.23,0.17,right,0.52,0.2,-0.3,-0.22,0.3,0.18,36,10,1.5,,,,,right,1,0.396648499998264,None,,,,,,,,,,,,,0,18,18,29,,,,,24.73835699999472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.72751449997304,24.73835699999472,25.137533541943412,right,1,0.396648499998264,None,25.137626874959096,25.430300041974988,9,0.3734176197431225,0.34994738968363714,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,19,19,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.3741138749755919,None,,,,,,,,,,,,,0,19,19,20,,,,,25.441028291999828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.431327207945287,25.441028291999828,25.81778779195156,right,0,0.3741138749755919,None,25.819751082977746,26.1176586249494,9,0.37345857593326776,0.3394988750737361,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,20,20,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.5832189999637194,None,,,,,,,,,,,,,0,20,20,27,,,,,26.127938916964922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.119067666993942,26.127938916964922,26.716460791998543,right,0,0.5832189999637194,None,26.71655983297387,27.010101999971084,9,0.38511193282384837,0.3334138475598838,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,21,21,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,1.0,,,,,right,1,0.5271861249930225,None,,,,,,,,,,,,,0,21,21,15,,,,,27.01957720797509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01086379197659,27.01957720797509,27.550872791965958,right,1,0.5271861249930225,None,27.55298308294732,27.848135499982163,10,0.3925895218853839,0.32606820331590386,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,22,22,0,,,,0.17,0.18,right,0.5,0.2,-0.2,-0.22,0.2,0.18,7,45,0.5,,,,,right,1,0.4549342920072377,None,,,,,,,,,,,,,0,22,22,2,,,,,27.858794749947265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.849181457946543,27.858794749947265,28.320258249994367,right,1,0.4549342920072377,None,28.320366916945204,28.618732832954265,11,0.39570676039147656,0.3181023041336733,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,23,23,0,,,,0.18,0.19,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,1.5,,,,,right,0,0.37425354099832475,None,,,,,,,,,,,,,0,23,23,31,,,,,28.62819637497887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.61986833298579,28.62819637497887,29.009561499988195,right,0,0.37425354099832475,None,29.01251254195813,29.308991291967686,11,0.3946851785156122,0.31046967816866633,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,24,24,0,,,,0.24,0.23,left,0.7,0.16,-0.18,0.2,0.18,-0.2,6,47,1.5,,,,,right,0,0.7642358749872074,None,,,,,,,,,,,,,0,24,24,35,,,,,29.31864820799092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.309782916971017,29.31864820799092,30.085720207949635,right,0,0.7642358749872074,None,30.08580862497911,30.383553291962016,11,0.41148293744613923,0.3129464037801159,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,25,25,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,,,,,right,0,0.3671443330240436,None,,,,,,,,,,,,,0,25,25,24,,,,,30.408447916968726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.384359332965687,30.408447916968726,30.77888995799003,right,0,0.3671443330240436,None,30.779052749974653,31.078308249998372,11,0.4095551720364829,0.3062011539374321,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,26,26,0,,,,0.27,0.26,left,0.52,0.2,-0.18,0.15,0.18,-0.18,20,4,1.5,,,,,left,1,1.0498232500394806,None,,,,,,,,,,,,,0,26,26,38,,,,,31.091673999966588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.079600832948927,31.091673999966588,32.14339779195143,left,1,1.0498232500394806,None,32.145472957985476,32.45834633294726,12,0.43623300861994113,0.32591682336303407,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,27,27,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,0.7,,,,,right,1,0.4031772919697687,None,,,,,,,,,,,,,0,27,27,7,,,,,32.47533533297246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.459578249952756,32.47533533297246,32.88208254199708,right,1,0.4031772919697687,None,32.882211666961666,33.175600874994416,13,0.43491077995393423,0.319397657550105,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,28,28,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.5,,,,,None,0,,,,,,,,,,,,,,,0,28,28,0,,,,,33.185134332976304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.176920041965786,33.185134332976304,33.67729241697816,None,0,,,33.68043133296305,33.974590457975864,13,0.43491077995393423,0.319397657550105,33.68725833296776,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,29,29,0,,,,0.26,0.27,right,0.15,0.5,-0.3,-0.2,0.3,0.2,5,45,1.0,,,,,right,1,0.3727172919898294,None,,,,,,,,,,,,,0,29,29,10,,,,,33.98536145797698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.97532945795683,33.98536145797698,34.3595324169728,right,1,0.3727172919898294,None,34.36146629200084,34.6598877919605,14,0.4325187227245456,0.31342345714918296,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,30,30,0,,,,0.19,0.2,left,0.5,0.2,-0.3,-0.2,0.3,0.2,30,15,1.5,,,,,left,1,0.7778248750255443,None,,,,,,,,,,,,,0,30,30,32,,,,,34.676193582999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.66058520798106,34.676193582999986,35.45921391696902,left,1,0.7778248750255443,None,35.45929816697026,35.758393207972404,15,0.44530783947643443,0.31440190302499804,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,31,31,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,left,0,0.4562219579820521,None,,,,,,,,,,,,,0,31,31,13,,,,,35.768836416944396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.759568957961164,35.768836416944396,36.244062624988146,left,0,0.4562219579820521,None,36.24646016699262,36.54243783297716,15,0.4456976294230636,0.30874318342180623,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,32,32,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.7,,,,,right,0,0.42142449994571507,None,,,,,,,,,,,,,0,32,32,8,,,,,36.5528180829715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.54363858298166,36.5528180829715,36.97809441696154,right,0,0.42142449994571507,None,36.978183916944545,37.275655874982476,15,0.4448606249583275,0.30340565543571796,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,33,33,0,,,,0.19,0.2,right,0.52,0.2,-0.2,0.2,0.2,-0.2,36,10,1.5,,,,,left,0,0.36557650001486763,None,,,,,,,,,,,,,0,33,33,34,,,,,37.29222566698445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.276970082952175,37.29222566698445,37.664645416953135,left,0,0.36557650001486763,None,37.66477612499148,37.958797207975294,15,0.4422178207935455,0.2986453415459771,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,34,34,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,right,1,0.31778383400524035,None,,,,,,,,,,,,,0,34,34,25,,,,,37.969406291958876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.960138124995865,37.969406291958876,38.29296541697113,right,1,0.31778383400524035,None,38.29504154197639,38.59271433297545,16,0.4382038212197292,0.2946104886068128,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,35,35,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,1.0,,,,,left,0,0.38854149996768683,None,,,,,,,,,,,,,0,35,35,16,,,,,38.602710957988165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59399891697103,38.602710957988165,38.994065499980934,left,0,0.38854149996768683,None,38.995791416964494,39.292435749957804,16,0.4366518736806029,0.29009938021016934,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,36,36,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,0.5,,,,,None,0,,,,,,,,,,,,,,,0,36,36,1,,,,,39.302246291947085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.293581749952864,39.302246291947085,39.79323191696312,None,0,,,39.79665966698667,40.0906984579633,16,0.4366518736806029,0.29009938021016934,39.80407354194904,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,37,37,0,,,,0.21,0.2,left,0.16,0.7,-0.18,0.15,0.18,-0.18,5,45,1.0,,,,,right,0,0.4133424590108916,None,,,,,,,,,,,,,0,37,37,18,,,,,40.10069054196356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.09144141699653,40.10069054196356,40.51993245794438,right,0,0.4133424590108916,None,40.521805416967254,40.81772024999373,16,0.43594552778152074,0.2856980646644372,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,38,38,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,1.0,,,,,right,1,0.5463701249682344,None,,,,,,,,,,,,,0,38,38,17,,,,,40.82756662496831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.81850466696778,40.82756662496831,41.37655624997569,right,1,0.5463701249682344,None,41.378421791945584,41.6758221249911,17,0.4391933100517182,0.28208293699382286,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,39,39,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,0.7,,,,,left,1,0.41092820797348395,None,,,,,,,,,,,,,0,39,39,6,,,,,41.685857166943606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67707962496206,41.685857166943606,42.10380374995293,left,1,0.41092820797348395,None,42.10388699994655,42.4085240829736,18,0.43838573570662576,0.2780638530722379,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Это было сложно?,5.2168021680216805,1.8744762500282377,"[(np.float64(5.2168021680216805), 1.8744762500282377)]",,,,,,,,,,,,,0,0,0,0,42.43825704196934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.42391866695834,42.43825704196934,42.43825704196934,44.29921062494395,5.2168021680216805,1.8744762500282377,"[(np.float64(5.2168021680216805), 1.8744762500282377)]",,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Вы могли контролировать ситуацию?,5.209575429087624,0.14138045895379037,"[(np.float64(5.209575429087624), 0.14138045895379037)]",,,,,,,,,,,,,0,1,1,1,44.31006387498928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.30262245796621,44.31006387498928,44.31006387498928,44.448627416975796,5.209575429087624,0.14138045895379037,"[(np.float64(5.209575429087624), 0.14138045895379037)]",,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько результат зависел от Вас?,5.202348690153568,0.11572012497344986,"[(np.float64(5.202348690153568), 0.11572012497344986)]",,,,,,,,,,,,,0,2,2,2,44.45973983296426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.45181033294648,44.45973983296426,44.45973983296426,44.57293149997713,5.202348690153568,0.11572012497344986,"[(np.float64(5.202348690153568), 0.11572012497344986)]",,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько успешно получалось сравнивать квадраты?,5.14453477868112,0.3051879580016248,"[(np.float64(5.14453477868112), 0.3051879580016248)]",,,,,,,,,,,,,0,3,3,3,44.582203582976945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.57557458296651,44.582203582976945,44.582203582976945,44.89182912494289,5.14453477868112,0.3051879580016248,"[(np.float64(5.14453477868112), 0.3051879580016248)]",,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,Вы довольны результатом?,5.14453477868112,0.15512516599847004,"[(np.float64(5.14453477868112), 0.15512516599847004)]",,,,,,,,,,,,,0,4,4,4,44.90259541699197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.89416224998422,44.90259541699197,44.90259541699197,45.05731870798627,5.14453477868112,0.15512516599847004,"[(np.float64(5.14453477868112), 0.15512516599847004)]",,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.06008274998749,45.064925124985166,45.064925124985166,46.357945832947735,None,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.35953337495448,46.36940120795043,53.53228612494422,space,7.159890374983661,None,"Введите номер строки для получения баллов. Нажмите "пробел", чтобы завершить.

6666",,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.53233791695675,53.543262249964755,54.54162454197649,54.53182666696375,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
