Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,textbox.stopped,Get_points.stopped,thanks.started,text_th.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,13,13,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,1.0903190840035677,None,,,,,,,,,,,,,0,13,13,20,,,,,29.61218820803333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.60452858300414,29.61218820803333,30.721414832980372,right,0,1.0903190840035677,None,30.723923125013243,31.020366707991343,6,0.8350686780071225,0.34921957074046445,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,14,14,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,,,,,right,0,0.7203275830252096,None,,,,,,,,,,,,,0,14,14,24,,,,,31.03054725000402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.02150741702644,31.03054725000402,31.753922417003196,right,0,0.7203275830252096,None,31.754025292000733,32.05206708301557,6,0.825506920091963,0.33585286793155517,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,15,15,0,,,,0.18,0.19,right,0.51,0.8,-0.2,-0.2,0.2,0.2,45,3,0.5,,,,,None,0,,,,,,,,,,,,,,,0,15,15,3,,,,,32.06239049998112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.053208541998174,32.06239049998112,32.55270212498726,None,0,,,32.55583966698032,32.85293716698652,6,0.825506920091963,0.33585286793155517,32.562813792028464,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,16,16,0,,,,0.21,0.2,left,0.16,0.7,-0.18,0.15,0.18,-0.18,5,45,1.0,,,,,right,0,0.155438958958257,None,,,,,,,,,,,,,0,16,16,18,,,,,32.86242445802782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.85411141702207,32.86242445802782,33.038043625012506,right,0,0.155438958958257,None,33.04039725003531,33.33711595798377,6,0.7739632307739857,0.36878376867559615,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,17,17,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.0,,,,,None,0,,,,,,,,,,,,,,,0,17,17,12,,,,,33.345758332987316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33829074999085,33.345758332987316,34.335213291982654,None,0,,,34.337704583012965,34.6275345000322,6,0.7739632307739857,0.36878376867559615,34.34294816700276,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,18,18,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.7,,,,,None,0,,,,,,,,,,,,,,,0,18,18,8,,,,,34.63873416703427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6288431250141,34.63873416703427,35.33648458303651,None,0,,,35.3366395420162,35.63686366699403,6,0.7739632307739857,0.36878376867559615,35.352322291990276,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,19,19,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.5,,,,,None,0,,,,,,,,,,,,,,,0,19,19,0,,,,,35.64621320803417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.63801966700703,35.64621320803417,36.13596266700188,None,0,,,36.13610449997941,36.42740733298706,6,0.7739632307739857,0.36878376867559615,36.14333795802668,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,20,20,0,,,,0.26,0.25,left,0.25,0.25,-0.18,0.21,0.18,0.18,3,45,1.5,,,,,None,0,,,,,,,,,,,,,,,0,20,20,37,,,,,36.43710670800647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.42788166698301,36.43710670800647,37.92258437501732,None,0,,,37.92265787499491,38.219923667027615,6,0.7739632307739857,0.36878376867559615,37.935824708023574,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,21,21,0,,,,0.23,0.22,left,0.6,0.15,-0.18,-0.2,0.18,0.2,30,15,1.5,,,,,right,0,0.5113702089875005,None,,,,,,,,,,,,,0,21,21,39,,,,,38.23052137502236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.221035333001055,38.23052137502236,38.755531708011404,right,0,0.5113702089875005,None,38.75814845802961,39.05159225000534,6,0.7552065863606653,0.361746637427098,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,22,22,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,1.0,,,,,None,0,,,,,,,,,,,,,,,0,22,22,17,,,,,39.062656291993335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.05289387499215,39.062656291993335,40.05364850000478,None,0,,,40.05746420798823,40.35328062501503,6,0.7552065863606653,0.361746637427098,40.06566616700729,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,23,23,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,1.0,,,,,None,0,,,,,,,,,,,,,,,0,23,23,16,,,,,40.36306554201292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.35451566701522,40.36306554201292,41.353778708027676,None,0,,,41.353830708016176,41.65265674999682,6,0.7552065863606653,0.361746637427098,41.36859775002813,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,24,24,0,,,,0.24,0.23,left,0.7,0.16,-0.18,0.2,0.18,-0.2,6,47,1.5,,,,,right,0,0.9317308749887161,None,,,,,,,,,,,,,0,24,24,35,,,,,41.662135042017326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.65395545802312,41.662135042017326,42.59552070801146,right,0,0.9317308749887161,None,42.59754066698952,42.89364091702737,6,0.766974872269202,0.35224350023193096,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,25,25,0,,,,0.25,0.26,right,0.54,0.22,-0.3,0.2,0.3,-0.2,37,7,1.5,,,,,None,0,,,,,,,,,,,,,,,0,25,25,26,,,,,42.90395750000607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.894283708010335,42.90395750000607,44.40292237501126,None,0,,,44.40618120803265,44.70338212500792,6,0.766974872269202,0.35224350023193096,44.418895124981645,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,26,26,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.5,,,,,right,1,0.6722387079498731,None,,,,,,,,,,,,,0,26,26,28,,,,,44.71280491701327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.704579333018046,44.71280491701327,45.387681458028965,right,1,0.6722387079498731,None,45.39023704198189,45.68548645800911,7,0.761053861999244,0.34182837971549257,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,27,27,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,None,0,,,,,,,,,,,,,,,0,27,27,14,,,,,45.69647787499707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6868494169903,45.69647787499707,46.67957087501418,None,0,,,46.68194879201474,46.97817479202058,7,0.761053861999244,0.34182837971549257,46.68895654199878,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,28,28,0,,,,0.2,0.21,left,0.15,0.6,-0.3,0.21,0.3,0.18,6,47,1.5,,,,,right,0,0.39681133296107873,None,,,,,,,,,,,,,0,28,28,33,,,,,46.98841558303684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.979315917007625,46.98841558303684,47.387339583016,right,0,0.39681133296107873,None,47.38960749999387,47.686467583000194,7,0.7396278308793519,0.34251789193803334,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,29,29,0,,,,0.26,0.27,right,0.15,0.5,-0.3,-0.2,0.3,0.2,5,45,1.0,,,,,None,0,,,,,,,,,,,,,,,0,29,29,10,,,,,47.69543204200454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.68695462500909,47.69543204200454,48.685944958007894,None,0,,,48.68929270800436,48.98671650001779,7,0.7396278308793519,0.34251789193803334,48.696008750004694,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,30,30,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,None,0,,,,,,,,,,,,,,,0,30,30,25,,,,,48.996077458024956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.987883333000354,48.996077458024956,50.48695500002941,None,0,,,50.487097917008214,50.78662883298239,7,0.7396278308793519,0.34251789193803334,50.49500304198591,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,31,31,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,0.7,,,,,None,0,,,,,,,,,,,,,,,0,31,31,6,,,,,50.79701316700084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.78780133300461,50.79701316700084,51.48641487502027,None,0,,,51.48649845801992,51.77697499998612,7,0.7396278308793519,0.34251789193803334,51.492731207981706,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,32,32,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,None,0,,,,,,,,,,,,,,,0,32,32,13,,,,,51.78631487500388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.77780112501932,51.78631487500388,52.76939912501257,None,0,,,52.76947979198303,53.060998792003375,7,0.7396278308793519,0.34251789193803334,52.77602724998724,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,33,33,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,,,,,right,0,0.7173251250060275,None,,,,,,,,,,,,,0,33,33,19,,,,,53.071602749987505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.06251841702033,53.071602749987505,53.79074804199627,right,0,0.7173251250060275,None,53.792809750011656,54.08846679201815,7,0.7383887916641672,0.332906759036767,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,34,34,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,None,0,,,,,,,,,,,,,,,0,34,34,27,,,,,54.10174279200146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.08986270800233,54.10174279200146,55.58634845801862,None,0,,,55.58954008301953,55.88576366699999,7,0.7383887916641672,0.332906759036767,55.60251458303537,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,35,35,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.7616383749991655,None,,,,,,,,,,,,,0,35,35,21,,,,,55.89461212500464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.88626691699028,55.89461212500464,56.66326108301291,right,0,0.7616383749991655,None,56.66493166703731,56.96037770801922,7,0.7396124539449566,0.32406923215082106,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,36,36,0,,,,0.27,0.26,left,0.52,0.2,-0.18,0.15,0.18,-0.18,20,4,1.5,,,,,None,0,,,,,,,,,,,,,,,0,36,36,38,,,,,56.97076370799914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.96129791700514,56.97076370799914,58.45878691703547,None,0,,,58.46134662500117,58.75409279199084,7,0.7396124539449566,0.32406923215082106,58.468226375000086,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,37,37,0,,,,0.19,0.2,left,0.5,0.2,-0.3,-0.2,0.3,0.2,30,15,1.5,,,,,None,0,,,,,,,,,,,,,,,0,37,37,32,,,,,58.767438417009544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75551708298735,58.767438417009544,60.2525700830156,None,0,,,60.25268654199317,60.54525270801969,7,0.7396124539449566,0.32406923215082106,60.25899887498235,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,38,38,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,0.7,,,,,None,0,,,,,,,,,,,,,,,0,38,38,5,,,,,60.55572587501956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.54626441700384,60.55572587501956,61.244621541991364,None,0,,,61.24469387502177,61.53789062501164,7,0.7396124539449566,0.32406923215082106,61.25229295803001,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,39,39,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,0.5,,,,,None,0,,,,,,,,,,,,,,,0,39,39,1,,,,,61.552139958017506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.53885095799342,61.552139958017506,62.035788125009276,None,0,,,62.035913292027544,62.33624224999221,7,0.7396124539449566,0.32406923215082106,62.05169150000438,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Это было сложно?,4.884372177055104,11.95383212500019,"[(np.float64(4.884372177055104), 11.95383212500019)]",,,,,,,,,,,,,0,0,0,0,62.36871466698358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.353375000006054,62.36871466698358,62.36871466698358,74.30794725002488,4.884372177055104,11.95383212500019,"[(np.float64(4.884372177055104), 11.95383212500019)]",,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Вы могли контролировать ситуацию?,4.884372177055104,0.10960633400827646,"[(np.float64(4.884372177055104), 0.10960633400827646)]",,,,,,,,,,,,,0,1,1,1,74.31736087502213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.30996783298906,74.31736087502213,74.31736087502213,74.42521116702119,4.884372177055104,0.10960633400827646,"[(np.float64(4.884372177055104), 0.10960633400827646)]",,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько результат зависел от Вас?,4.884372177055104,0.11805454199202359,"[(np.float64(4.884372177055104), 0.11805454199202359)]",,,,,,,,,,,,,0,2,2,2,74.43524308298947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.42768033302855,74.43524308298947,74.43524308298947,74.5516081249807,4.884372177055104,0.11805454199202359,"[(np.float64(4.884372177055104), 0.11805454199202359)]",,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько успешно получалось сравнивать квадраты?,4.884372177055104,0.12565424997592345,"[(np.float64(4.884372177055104), 0.12565424997592345)]",,,,,,,,,,,,,0,3,3,3,74.56083491700701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.55382299999474,74.56083491700701,74.56083491700701,74.68698883301113,4.884372177055104,0.12565424997592345,"[(np.float64(4.884372177055104), 0.12565424997592345)]",,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,Вы довольны результатом?,4.884372177055104,0.12088620802387595,"[(np.float64(4.884372177055104), 0.12088620802387595)]",,,,,,,,,,,,,0,4,4,4,74.69776225002715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.68978845799575,74.69776225002715,74.69776225002715,74.81663008301985,4.884372177055104,0.12088620802387595,"[(np.float64(4.884372177055104), 0.12088620802387595)]",,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.81900558300549,74.82374104199698,74.82374104199698,76.12454508303199,76.12454508303199,76.11061508301646,None,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1126897080103,76.12454508303199,81.11823716701474,85.904078749998,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.90423058299348,85.9152332500089,,,,,,,,,,
