Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,text_6.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,13,13,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.5,,,,,right,1,0.20815287495497614,None,,,,,,,,,,,,,0,13,13,28,,,,,20.3023858750239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.288554375001695,20.3023858750239,20.518581542011816,right,1,0.20815287495497614,None,20.52132800000254,20.820447832986247,9,0.27351792248997037,0.22682275722715048,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,14,14,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.1953886660048738,None,,,,,,,,,,,,,0,14,14,13,,,,,20.8289956250228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.82120483298786,20.8289956250228,21.03038483299315,right,1,0.1953886660048738,None,21.030443291994743,21.33647912502056,10,0.2683093053909639,0.2199965333186607,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,15,15,0,,,,0.19,0.2,right,0.52,0.2,-0.2,0.2,0.2,-0.2,36,10,1.5,,,,,right,1,0.21978566696634516,None,,,,,,,,,,,,,0,15,15,34,,,,,21.347732125024777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.337886749999598,21.347732125024777,21.57204466703115,right,1,0.21978566696634516,None,21.572239292028826,21.869495833001565,11,0.2652765779894253,0.2133343187056292,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,16,16,0,,,,0.25,0.26,right,0.54,0.22,-0.3,0.2,0.3,-0.2,37,7,1.5,,,,,right,1,0.20017249998636544,None,,,,,,,,,,,,,0,16,16,26,,,,,21.878249042027164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.86993845802499,21.878249042027164,22.086994417011738,right,1,0.20017249998636544,None,22.087099666998256,22.377615792036522,12,0.26144692634218647,0.20753082260581435,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,17,17,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,1.0,,,,,right,1,0.1743025830364786,None,,,,,,,,,,,,,0,17,17,15,,,,,22.387336042011157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.37829233298544,22.387336042011157,22.5722194580012,right,1,0.1743025830364786,None,22.572368833003566,22.8697684170329,13,0.2566055739363138,0.20266912823733213,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,18,18,0,,,,0.23,0.22,left,0.6,0.15,-0.18,-0.2,0.18,0.2,30,15,1.5,,,,,right,0,0.1464582919725217,None,,,,,,,,,,,,,0,18,18,39,,,,,22.880170207994524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.87095016700914,22.880170207994524,23.029372333025094,right,0,0.1464582919725217,None,23.031347958021797,23.336261750024278,13,0.25080834856979844,0.1987910612778628,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,19,19,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,0.5,,,,,right,1,0.16840133297955617,None,,,,,,,,,,,,,0,19,19,4,,,,,23.348832999996375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.337604000000283,23.348832999996375,23.52184300002409,right,1,0.16840133297955617,None,23.52387841703603,23.819632708036806,14,0.24668799779028633,0.19458818119854648,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,20,20,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.200996125000529,None,,,,,,,,,,,,,0,20,20,27,,,,,23.82888691703556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.820064625004306,23.82888691703556,24.035960874985904,right,0,0.200996125000529,None,24.03688637498999,24.336107125040144,14,0.2445121943241074,0.19014775407148266,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,21,21,0,,,,0.17,0.18,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.16531379101797938,None,,,,,,,,,,,,,0,21,21,30,,,,,24.346900917007588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.337268500006758,24.346900917007588,24.521772125037387,right,0,0.16531379101797938,None,24.521892375021707,24.8193765420001,14,0.24091226690110157,0.1865069843353826,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,22,22,0,,,,0.2,0.21,right,0.13,0.85,-0.2,-0.2,0.2,0.2,0,45,1.0,,,,,right,1,0.20749687496572733,None,,,,,,,,,,,,,0,22,22,9,,,,,24.827955958025996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.820004958019126,24.827955958025996,25.037225167034194,right,1,0.20749687496572733,None,25.039243582985364,25.337041457998566,15,0.23945942377347662,0.18253467277836322,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,23,23,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,1.0,,,,,right,0,0.2109526670537889,None,,,,,,,,,,,,,0,23,23,11,,,,,25.347134749987163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.33820670802379,25.347134749987163,25.562998833018355,right,0,0.2109526670537889,None,25.564830749994144,25.860456708003767,15,0.23827164224348962,0.17878218020407766,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,24,24,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,,,,,right,1,0.18414308299543336,None,,,,,,,,,,,,,0,24,24,23,,,,,25.87047625001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.861654624983203,25.87047625001287,26.056158083025366,right,1,0.18414308299543336,None,26.05779208301101,26.354074832983315,16,0.23610649987356738,0.1754908927430456,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,25,25,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,0.5,,,,,right,0,0.18803504103561863,None,,,,,,,,,,,,,0,25,25,1,,,,,26.364390083006583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.355356667016167,26.364390083006583,26.556392166996375,right,0,0.18803504103561863,None,26.558137333020568,26.853186374995857,16,0.23425759761056936,0.17233111260008424,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,26,26,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,1.0,,,,,right,1,0.1807026659953408,None,,,,,,,,,,,,,0,26,26,17,,,,,26.86187541700201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.854253875033464,26.86187541700201,27.04417300003115,right,1,0.1807026659953408,None,27.046129083028063,27.341883416986093,17,0.23227408162482013,0.16941186119400928,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,27,27,0,,,,0.18,0.19,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,1.5,,,,,right,0,0.2111308749881573,None,,,,,,,,,,,,,0,27,27,31,,,,,27.35292858298635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.343049291986972,27.35292858298635,27.570460917020682,right,0,0.2111308749881573,None,27.57240137498593,27.86777745798463,17,0.23151896710208217,0.16640541016503135,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,28,28,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.20735687494743615,None,,,,,,,,,,,,,0,28,28,20,,,,,27.87794204201782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.86863841698505,27.87794204201782,28.089188417012338,right,0,0.20735687494743615,None,28.089345832995605,28.38783683301881,17,0.23068579151054266,0.16357060800949194,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,29,29,0,,,,0.26,0.25,left,0.25,0.25,-0.18,0.21,0.18,0.18,3,45,1.5,,,,,right,0,0.294352707976941,None,,,,,,,,,,,,,0,29,29,37,,,,,28.397836500022095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.389008083031513,28.397836500022095,28.69623825000599,right,0,0.294352707976941,None,28.696305999998003,28.99157545802882,17,0.2328080220594226,0.16122689299147258,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,30,30,0,,,,0.18,0.19,right,0.51,0.8,-0.2,-0.2,0.2,0.2,45,3,0.5,,,,,right,1,0.23220491700340062,None,,,,,,,,,,,,,0,30,30,3,,,,,29.00208979198942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.992380250012502,29.00208979198942,29.236919416987803,right,1,0.23220491700340062,None,29.238814375014044,29.53512087499257,18,0.23278856705761544,0.15860517856663822,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,31,31,0,,,,0.24,0.23,left,0.7,0.16,-0.18,0.2,0.18,-0.2,6,47,1.5,,,,,right,0,0.2110694579896517,None,,,,,,,,,,,,,0,31,31,35,,,,,29.54424887499772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.53567687503528,29.54424887499772,29.767172750027385,right,0,0.2110694579896517,None,29.7689068330219,30.061320999986492,18,0.23210984489924158,0.15615303603065694,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,32,32,0,,,,0.23,0.17,right,0.52,0.2,-0.3,-0.22,0.3,0.18,36,10,1.5,,,,,right,1,0.19921120803337544,None,,,,,,,,,,,,,0,32,32,29,,,,,30.08566008298658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06205495801987,30.08566008298658,30.305047500005458,right,1,0.19921120803337544,None,30.307843875023536,30.619049708009697,19,0.23111291650936686,0.15387225948557626,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,33,33,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,,,,,right,0,0.1384937500115484,None,,,,,,,,,,,,,0,33,33,24,,,,,30.635887292039115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.62020341702737,30.635887292039115,30.77880216698395,right,0,0.1384937500115484,None,30.780712917039637,31.078030582983047,19,0.22838882337707808,0.15239810391950617,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,34,34,0,,,,0.27,0.26,left,0.52,0.2,-0.18,0.15,0.18,-0.18,20,4,1.5,,,,,right,0,0.17837616696488112,None,,,,,,,,,,,,,0,34,34,38,,,,,31.10240158298984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.078750792017672,31.10240158298984,31.288136499992106,right,0,0.17837616696488112,None,31.288203832984436,31.58897183299996,19,0.2269598903367296,0.15043612709386783,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,35,35,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,0.7,,,,,right,1,0.16212116600945592,None,,,,,,,,,,,,,0,35,35,7,,,,,31.601933000027202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.590352208004333,31.601933000027202,31.77327891701134,right,1,0.16212116600945592,None,31.775456250004936,32.06942758301739,20,0.22515881466097198,0.14871423682577686,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,36,36,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,,,,,right,0,0.229408958053682,None,,,,,,,,,,,,,0,36,36,19,,,,,32.08049179200316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.070675583032425,32.08049179200316,32.31260950001888,right,0,0.229408958053682,None,32.31443520798348,32.61129841703223,20,0.2252736834013155,0.14669243868190804,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,37,37,0,,,,0.21,0.2,left,0.16,0.7,-0.18,0.15,0.18,-0.18,5,45,1.0,,,,,right,0,0.21913374995347112,None,,,,,,,,,,,,,0,37,37,18,,,,,32.62164241698338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.61271983303595,32.62164241698338,32.84661516698543,right,0,0.21913374995347112,None,32.846676582994405,33.15263258299092,20,0.2251121062053196,0.1447527433307889,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,38,38,0,,,,0.2,0.21,left,0.15,0.6,-0.3,0.21,0.3,0.18,6,47,1.5,,,,,right,0,0.19123675004811957,None,,,,,,,,,,,,,0,38,38,33,,,,,33.16115574998548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.15341591701144,33.16115574998548,33.35454954201123,right,0,0.19123675004811957,None,33.35460604203399,33.652049291995354,20,0.22424350732949394,0.14298517677578465,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,39,39,0,,,,0.19,0.2,left,0.5,0.2,-0.3,-0.2,0.3,0.2,30,15,1.5,,,,,right,0,0.20272775000194088,None,,,,,,,,,,,,,0,39,39,32,,,,,33.66111558303237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.652887083007954,33.66111558303237,33.87038516701432,right,0,0.20272775000194088,None,33.87047920800978,34.161371708032675,20,0.22370561339630513,0.1412265046781708,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Это было сложно?,4.971093044263776,1.8953635829966515,"[(np.float64(4.971093044263776), 1.8953635829966515)]",,,,,,,,,,,,,0,0,0,0,34.18793208303396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.17266987502808,34.18793208303396,34.18793208303396,36.07308629201725,4.971093044263776,1.8953635829966515,"[(np.float64(4.971093044263776), 1.8953635829966515)]",,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Вы могли контролировать ситуацию?,5,0.32645558298099786,"[(5, 0.32645558298099786)]",,,,,,,,,,,,,0,1,1,1,36.08613495802274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.07613975001732,36.08613495802274,36.08613495802274,36.40770954202162,5,0.32645558298099786,"[(5, 0.32645558298099786)]",,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько результат зависел от Вас?,5,0.16751758300233632,"[(5, 0.16751758300233632)]",,,,,,,,,,,,,0,2,2,2,36.41768383298768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.41028962499695,36.41768383298768,36.41768383298768,36.584672625001986,5,0.16751758300233632,"[(5, 0.16751758300233632)]",,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько успешно получалось сравнивать квадраты?,5,0.14108654099982232,"[(5, 0.14108654099982232)]",,,,,,,,,,,,,0,3,3,3,36.59410291700624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.586969166994095,36.59410291700624,36.59410291700624,36.73467012500623,5,0.14108654099982232,"[(5, 0.14108654099982232)]",,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,Вы довольны результатом?,5,0.13703870895551518,"[(5, 0.13703870895551518)]",,,,,,,,,,,,,0,4,4,4,36.74522312503541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.73714833299164,36.74522312503541,36.74522312503541,36.8860461669974,5,0.13703870895551518,"[(5, 0.13703870895551518)]",,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.88955854199594,36.895907542028,36.895907542028,38.19311774999369,38.19311774999369,38.17990462499438,None,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.18064974999288,38.19311774999369,38.19311774999369,,,,,,,,,,
