Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,Get_points.stopped,textbox.text,thanks.started,text_th.started,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,13,13,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,0.5,,,,,None,0,,,,,,,,,,,,,,,0,13,13,4,,,,,25.41717479203362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.408364167029504,25.41717479203362,25.90787266701227,None,0,,,25.9102878330159,26.20548066700576,6,0.5082516742669131,0.26420395287615106,25.918044042016845,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,14,14,0,,,,0.25,0.24,left,0.8,0.17,-0.18,-0.2,0.18,0.2,25,4,1.5,,,,,right,0,0.3028827919624746,None,,,,,,,,,,,,,0,14,14,36,,,,,26.216018292005174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.206800000043586,26.216018292005174,26.523765125020873,right,0,0.3028827919624746,None,26.525418708042707,26.820885958033614,6,0.49113760074154317,0.25924613393719925,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,15,15,0,,,,0.17,0.18,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.2549997919704765,None,,,,,,,,,,,,,0,15,15,30,,,,,26.831186250026803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.821518042008393,26.831186250026803,27.090083457995206,right,0,0.2549997919704765,None,27.090173458040226,27.3976478750119,6,0.4729731539129996,0.25690082606032133,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,16,16,0,,,,0.25,0.26,right,0.54,0.22,-0.3,0.2,0.3,-0.2,37,7,1.5,,,,,right,1,0.45214991696411744,None,,,,,,,,,,,,,0,16,16,26,,,,,27.40834454202559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.39881195803173,27.40834454202559,27.865280291996896,right,1,0.45214991696411744,None,27.866821917006746,28.164000917051453,7,0.4714857798452223,0.24761391070584135,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,17,17,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.5195053329807706,None,,,,,,,,,,,,,0,17,17,20,,,,,28.17412125004921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.16514541703509,28.17412125004921,28.69893641700037,right,0,0.5195053329807706,None,28.70131150004454,28.997939667024184,7,0.4746870833875922,0.23951746424402923,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,18,18,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,0.7,,,,,right,1,0.5879852920188569,None,,,,,,,,,,,,,0,18,18,7,,,,,29.007963208016008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.999038292036857,29.007963208016008,29.60120337503031,right,1,0.5879852920188569,None,29.60342550004134,29.897419750050176,8,0.48176822142704623,0.2335277605275843,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,19,19,0,,,,0.26,0.27,right,0.15,0.5,-0.3,-0.2,0.3,0.2,5,45,1.0,,,,,right,1,0.31985820800764486,None,,,,,,,,,,,,,0,19,19,10,,,,,29.906915416999254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.898077499994542,29.906915416999254,30.23086441704072,right,1,0.31985820800764486,None,30.231003749999218,30.523657750047278,9,0.47224410299061087,0.22973594065592678,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,20,20,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.4568915829877369,None,,,,,,,,,,,,,0,20,20,21,,,,,30.53482066700235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.524826500040945,30.53482066700235,30.996955250040628,right,0,0.4568915829877369,None,30.998696833034046,31.290260625013616,9,0.4713911852126734,0.22329089730255855,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,21,21,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,,,,,right,0,0.9159515419742092,None,,,,,,,,,,,,,0,21,21,24,,,,,31.30215920804767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.291502458043396,31.30215920804767,32.22287191700889,right,0,0.9159515419742092,None,32.222946833004244,32.52174245804781,9,0.49478909872643845,0.23893304201365273,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,22,22,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.5,,,,,right,1,0.2544794169953093,None,,,,,,,,,,,,,0,22,22,28,,,,,32.53160600003321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.52220320800552,32.53160600003321,32.80003745801514,right,1,0.2544794169953093,None,32.80235087504843,33.098335542017594,10,0.482773614639882,0.23869984067119646,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,23,23,0,,,,0.23,0.17,right,0.52,0.2,-0.3,-0.22,0.3,0.18,36,10,1.5,,,,,right,1,0.172587042034138,None,,,,,,,,,,,,,0,23,23,29,,,,,33.108776542008854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.09937433304731,33.108776542008854,33.300237332994584,right,1,0.172587042034138,None,33.30039608303923,33.59921958303312,11,0.4680028254681799,0.24213202696110292,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,24,24,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,1.0,,,,,right,1,0.13920749997487292,None,,,,,,,,,,,,,0,24,24,15,,,,,33.60798437503399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.60058387502795,33.60798437503399,33.76698941702489,right,1,0.13920749997487292,None,33.767142667027656,34.081013458024245,12,0.45305758340030233,0.24627947247921628,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,25,25,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,,,,,right,0,0.14985962503124028,None,,,,,,,,,,,,,0,25,25,19,,,,,34.09761633304879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.08212075004121,34.09761633304879,34.24892900005216,right,0,0.14985962503124028,None,34.25196250004228,34.54774687503232,12,0.43987506347121264,0.2486756939270775,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,26,26,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,right,1,0.14452349999919534,None,,,,,,,,,,,,,0,26,26,25,,,,,34.55753883300349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.54891920799855,34.55753883300349,34.70745862502372,right,1,0.14452349999919534,None,34.70902800001204,35.004242708033416,13,0.4275687483265453,0.2504919055478157,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,27,27,0,,,,0.27,0.26,left,0.52,0.2,-0.18,0.15,0.18,-0.18,20,4,1.5,,,,,right,0,0.13299770903540775,None,,,,,,,,,,,,,0,27,27,38,,,,,35.01397166703828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00494800001616,35.01397166703828,35.15042983304011,right,0,0.13299770903540775,None,35.151867750042584,35.44819108303636,13,0.4157859067548998,0.2521277364496749,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,28,28,0,,,,0.17,0.18,right,0.5,0.2,-0.2,-0.22,0.2,0.18,7,45,0.5,,,,,right,1,0.18079695804044604,None,,,,,,,,,,,,,0,28,28,2,,,,,35.457002167007886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.449316500045825,35.457002167007886,35.642310167022515,right,1,0.18079695804044604,None,35.64464837504784,35.9378791670315,14,0.4067478702658823,0.25132769403447436,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,29,29,0,,,,0.2,0.21,right,0.13,0.85,-0.2,-0.2,0.2,0.2,0,45,1.0,,,,,right,1,0.12337112502427772,None,,,,,,,,,,,,,0,29,29,9,,,,,35.94774066703394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.93832900002599,35.94774066703394,36.08254170801956,right,1,0.12337112502427772,None,36.08263104199432,36.38197512499755,15,0.396252435256934,0.25236907658463076,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,30,30,0,,,,0.24,0.23,left,0.7,0.16,-0.18,0.2,0.18,-0.2,6,47,1.5,,,,,right,0,0.16164979099994525,None,,,,,,,,,,,,,0,30,30,35,,,,,36.39127925003413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.382476833008695,36.39127925003413,36.56652158300858,right,0,0.16164979099994525,None,36.56813416699879,36.86474387504859,15,0.38787376939061297,0.2516166880368421,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,31,31,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,1.0,,,,,right,1,0.20505887496983632,None,,,,,,,,,,,,,0,31,31,16,,,,,36.87555970804533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8660321670468,36.87555970804533,37.08341633301461,right,1,0.20505887496983632,None,37.08502987504471,37.382013500027824,16,0.38156980751403446,0.24948053915249765,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,32,32,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.2337585419882089,None,,,,,,,,,,,,,0,32,32,27,,,,,37.39072954200674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.38329862500541,37.39072954200674,37.63107379199937,right,0,0.2337585419882089,None,37.63281404203735,37.93133166700136,16,0.37664276532984026,0.24671816180509884,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,33,33,0,,,,0.18,0.19,right,0.51,0.8,-0.2,-0.2,0.2,0.2,45,3,0.5,,,,,right,1,0.20911183400312439,None,,,,,,,,,,,,,0,33,33,3,,,,,37.940479542012326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.932455667003524,37.940479542012326,38.161052333016414,right,1,0.20911183400312439,None,38.16357087501092,38.45584075001534,17,0.3712385417386559,0.24450455364019202,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,34,34,0,,,,0.19,0.2,left,0.5,0.2,-0.3,-0.2,0.3,0.2,30,15,1.5,,,,,right,0,0.51561937504448,None,,,,,,,,,,,,,0,34,34,32,,,,,38.4658052920131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.45698087499477,38.4658052920131,38.99275954201585,right,0,0.51561937504448,None,38.99453374999575,39.291339667048305,17,0.3757504427794629,0.241961462083098,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,35,35,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.0,,,,,None,0,,,,,,,,,,,,,,,0,35,35,12,,,,,39.30409133300418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.29283925000345,39.30409133300418,40.287719167012256,None,0,,,40.28940925002098,40.58127683302155,17,0.3757504427794629,0.241961462083098,40.29622479202226,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,36,36,0,,,,0.19,0.2,right,0.52,0.2,-0.2,0.2,0.2,-0.2,36,10,1.5,,,,,right,1,0.8050694999983534,None,,,,,,,,,,,,,0,36,36,34,,,,,40.592139333020896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.58231650001835,40.592139333020896,41.400162625010125,right,1,0.8050694999983534,None,41.40210466703866,41.69828770804452,18,0.38876011118003534,0.24937380525041342,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,37,37,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,0.5,,,,,right,0,0.41350437502842396,None,,,,,,,,,,,,,0,37,37,1,,,,,41.70896591700148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.69942658301443,41.70896591700148,42.12627504201373,right,0,0.41350437502842396,None,42.12865262501873,42.43036050000228,18,0.38948788364616443,0.24571474356557196,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,38,38,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,1.0,,,,,right,0,0.360823041992262,None,,,,,,,,,,,,,0,38,38,11,,,,,42.43987266701879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4311494170106,42.43987266701879,42.802560250042006,right,0,0.360823041992262,None,42.80262970802141,43.114160375029314,18,0.3886688881703386,0.24222617493091841,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,39,39,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.7,,,,,right,0,0.2827268749824725,None,,,,,,,,,,,,,0,39,39,8,,,,,43.13145787501708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1153289580252,43.13145787501708,43.41738550004084,right,0,0.2827268749824725,None,43.41749704204267,43.71575479203602,18,0.3857260544706757,0.23947193840417544,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Это было сложно?,5.43360433604336,1.9733912920346484,"[(np.float64(5.43360433604336), 1.9733912920346484)]",,,,,,,,,,,,,0,0,0,0,43.74677787499968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.732498833036516,43.74677787499968,43.74677787499968,45.70795700000599,5.43360433604336,1.9733912920346484,"[(np.float64(5.43360433604336), 1.9733912920346484)]",,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Вы могли контролировать ситуацию?,5.2168021680216805,0.43846704199677333,"[(np.float64(5.2168021680216805), 0.43846704199677333)]",,,,,,,,,,,,,0,1,1,1,45.72169933305122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.71297579200473,45.72169933305122,45.72169933305122,46.15370983304456,5.2168021680216805,0.43846704199677333,"[(np.float64(5.2168021680216805), 0.43846704199677333)]",,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько результат зависел от Вас?,5.137308039747064,0.3257443329785019,"[(np.float64(5.137308039747064), 0.3257443329785019)]",,,,,,,,,,,,,0,2,2,2,46.163981792051345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1563737920369,46.163981792051345,46.163981792051345,46.48668379202718,5.137308039747064,0.3257443329785019,"[(np.float64(5.137308039747064), 0.3257443329785019)]",,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько успешно получалось сравнивать квадраты?,5.115627822944896,0.6431521659833379,"[(np.float64(5.115627822944896), 0.6431521659833379)]",,,,,,,,,,,,,0,3,3,3,46.49691683304263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4895097920089,46.49691683304263,46.49691683304263,47.13656145799905,5.115627822944896,0.6431521659833379,"[(np.float64(5.115627822944896), 0.6431521659833379)]",,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,Вы довольны результатом?,5.115627822944896,0.4676253750221804,"[(np.float64(5.115627822944896), 0.4676253750221804)]",,,,,,,,,,,,,0,4,4,4,47.145241582999006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.13813666702481,47.145241582999006,47.145241582999006,47.61320341704413,5.115627822944896,0.4676253750221804,"[(np.float64(5.115627822944896), 0.4676253750221804)]",,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.61618716700468,47.62123537500156,47.62123537500156,48.91791316703893,48.91791316703893,48.90500795800472,None,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.906528207997326,48.91791316703893,53.76767187501537,Введите номер строки для учета баллов. Затем нажмите на пробел для завершения:6666,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.76780508301454,53.78557649999857,54.769966375024524,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
